X,Z,trial,finished
18.55754,22.87897,1,1
19.73834,20.45811,1,1
20.11116,17.36461,1,1
20.01849,14.31061,1,1
19.9375,14.08471,1,1
17.63754,12.78868,1,1
14.81553,11.46419,1,1
11.96589,10.53598,1,1
9.091678,9.676336,1,1
6.28231,8.646631,1,1
3.671049,7.172669,1,1
3.158651,6.860501,1,1
1.740799,5.231303,1,1
0.3350566,2.549713,1,1
0.03602881,1.637473,1,1
-0.06124669,0.3210635,1,1
0.0693062,2.23662,1,1
-1.564524,3.980502,1,1
-1.208107,4.042194,1,1
1.722182,4.685022,1,1
4.384931,5.977894,1,1
6.857665,7.674389,1,1
9.886701,8.363473,1,1
12.84405,8.865,1,1
15.76803,9.941098,1,1
18.43355,11.53069,1,1
19.51135,14.15356,1,1
19.84229,17.18251,1,1
20.35998,20.24234,1,1
20.3923,23.17318,1,1
18.72592,25.7121,1,1
18.62597,25.7785,1,1
18.62597,25.7785,1,1
18.62597,25.7785,1,1
18.62597,25.7785,1,1
18.62597,25.7785,1,1
18.62597,25.7785,1,1
18.62597,25.7785,1,1
17.47517,27.16213,1,1
15.03483,29.10506,1,1
12.6191,30.88379,1,1
10.62628,32.99776,1,1
10.36,35.91973,1,1
10.36675,38.9894,1,1
10.38663,42.07815,1,1
10.67865,42.45353,1,1
10.67865,42.45353,1,1
10.67394,42.57343,1,1
12.50867,44.85122,1,1
13.77814,47.53825,1,1
14.66618,50.52369,1,1
14.97785,53.62809,1,1
15.35352,56.72517,1,1
15.35257,57.20351,1,1
13.62851,57.56051,1,1
12.12,57.73334,1,1
12.78277,57.25692,1,1
14.00466,57.54059,1,1
15.1919,56.92011,1,1
14.72,54.44514,1,1
14.72,51.46964,1,1
13.02871,48.96518,1,1
11.19256,46.61154,1,1
10.05829,43.75201,1,1
9.817876,40.64371,1,1
9.72,37.65408,1,1
9.72,34.53838,1,1
9.419883,31.45411,1,1
11.11619,29.01549,1,1
13.3806,27.05024,1,1
15.79583,25.07512,1,1
18.07001,22.95415,1,1
19.70352,20.67295,1,1
19.93365,17.68937,1,1
19.88751,14.64763,1,1
17.64948,12.68707,1,1
14.98412,11.31526,1,1
12.14434,10.02365,1,1
9.333868,9.026797,1,1
6.440904,8.271336,1,1
3.742223,6.980673,1,1
1.355156,5.175886,1,1
0.2933914,2.32248,1,1
-0.2097447,0.09868726,1,1
0.3436137,2.802045,1,1
0.2581538,5.662658,1,1
-0.09903563,6.076501,1,1
2.90626,6.860085,1,1
5.87218,6.741539,1,1
8.664396,7.698368,1,1
11.26245,9.424629,1,1
14.13989,10.63017,1,1
17.02237,11.8242,1,1
19.37175,13.82271,1,1
20.23955,16.67587,1,1
20.36,19.71815,1,1
19.67647,22.54486,1,1
18.14286,25.1195,1,1
16.1574,27.36767,1,1
13.9614,29.57911,1,1
11.80362,31.48638,1,1
10.22262,33.98095,1,1
9.984364,36.97143,1,1
10.79103,39.70147,1,1
13.01196,40.56228,1,1
13.51371,43.51978,1,1
13.99846,46.48037,1,1
14.50353,49.55923,1,1
14.96182,52.64376,1,1
14.96173,55.64338,1,1
15.26998,57.60394,1,1
15.34873,56.43517,1,1
15.36,53.48781,1,1
15.01507,50.65655,1,1
12.41871,49.66748,1,1
9.445893,49.90709,1,1
6.539103,50.28412,1,1
4.936388,52.62623,1,1
4.720002,55.69099,1,1
5.269286,58.36965,1,1
7.936553,57.87143,1,1
7.93,57.87143,1,1
7.93,57.87143,1,1
7.93,57.87143,1,1
5.780478,58.08212,1,1
4.586703,58.20406,1,1
4.586703,58.20406,1,1
4.586703,58.20406,1,1
4.586703,58.20406,1,1
4.586703,58.20406,1,1
4.586703,58.20406,1,1
4.586703,58.20406,1,1
5.330835,55.42247,1,1
4.93319,52.35221,1,1
4.500032,49.33255,1,1
6.025559,46.75945,1,1
7.833652,44.93196,1,1
9.036948,46.26401,1,1
11.78576,47.42152,1,1
13.93572,49.42894,1,1
14.76328,52.22175,1,1
14.87752,55.33964,1,1
15.00051,58.45668,1,1
15.05409,58.69063,1,1
15.05409,58.69063,1,1
14.20451,58.24361,1,1
