x,y,DISTANCE,n,risk,safe_first
2170,2032,72.5,1,0,risky first
2350,1852,254.6,1,0,risky first
2530,1672,254.6,1,0,risky first
2710,1555,214.7,1,0,risky first
2890,1444,211.5,1,0,risky first
2758,1546,166.8,1,0,risky first
2578,1726,254.6,1,0,risky first
2398,1906,254.6,1,0,risky first
2218,1990,198.6,1,0,risky first
2179,2020,49.2,1,0,risky first
2359,1840,254.6,1,0,risky first
2539,1702,226.8,1,0,risky first
2719,1585,214.7,1,0,risky first
2899,1459,219.7,1,0,risky first
2776,1552,154.2,1,0,risky first
2596,1669,214.7,1,0,risky first
2416,1849,254.6,1,0,risky first
2236,1933,198.6,1,0,risky first
2128,1999,126.6,1,0,risky first
2308,1849,234.3,1,0,risky first
2488,1732,214.7,1,0,risky first
2668,1621,211.5,1,0,risky first
2848,1525,204,1,0,risky first
2833,1501,28.3,1,0,risky first
2653,1609,209.9,1,0,risky first
2473,1789,254.6,1,0,risky first
2293,1894,208.4,1,0,risky first
2113,2044,234.3,1,0,risky first
2272,1921,201,1,0,risky first
2452,1780,228.7,1,0,risky first
2632,1630,234.3,1,0,risky first
2812,1510,216.3,1,0,risky first
2869,1432,96.6,1,0,risky first
2911,1471,57.3,1,0,risky first
3007,1618,175.6,1,0,risky first
3073,1798,191.7,1,0,risky first
3253,1804,180.1,1,0,risky first
3211,1954,155.8,1,0,risky first
3145,2134,191.7,1,0,risky first
2965,2248,213.1,1,0,risky first
2785,2368,216.3,1,0,risky first
2647,2548,226.8,1,0,risky first
2743,2728,204,1,0,risky first
2695,2908,186.3,1,0,risky first
2569,3031,176.1,1,0,risky first
2389,2890,228.7,1,0,risky first
2209,2710,254.6,1,0,risky first
2179,2530,182.5,1,0,risky first
2062,2350,214.7,1,0,risky first
2062,2449,99,1,0,risky first
2062,2629,180,1,0,risky first
2062,2809,180,1,0,risky first
2062,2989,180,1,0,risky first
2062,3169,180,1,0,risky first
2005,3349,188.8,1,0,risky first
1825,3361,180.4,1,0,risky first
1645,3202,240.2,1,0,risky first
1495,3022,234.3,1,0,risky first
1345,2842,234.3,1,0,risky first
1342,2662,180,1,0,risky first
1213,2482,221.5,1,0,risky first
1033,2302,254.6,1,0,risky first
919,2122,213.1,1,0,risky first
757,1942,242.2,1,0,risky first
874,1762,214.7,1,0,risky first
877,1582,180,1,0,risky first
805,1402,193.9,1,0,risky first
820,1222,180.6,1,0,risky first
787,1042,183,1,0,risky first
772,862,180.6,1,0,risky first
952,799,190.7,1,0,risky first
1132,937,226.8,1,0,risky first
1312,1063,219.7,1,0,risky first
1492,1222,240.2,1,0,risky first
1672,1402,254.6,1,0,risky first
1792,1312,150,1,0,risky first
1843,1189,133.2,1,0,risky first
1843,1075,114,1,0,risky first
1954,1108,115.8,1,0,risky first
1909,1090,48.5,1,0,risky first
1822,1132,96.6,1,0,risky first
1840,1312,180.9,1,0,risky first
1978,1492,226.8,1,0,risky first
1978,1672,180,1,0,risky first
1978,1852,180,1,0,risky first
2023,2020,173.9,1,0,risky first
1891,1870,199.8,1,0,risky first
1858,1690,183,1,0,risky first
1855,1510,180,1,0,risky first
1822,1330,183,1,0,risky first
1822,1150,180,1,0,risky first
1822,970,180,1,0,risky first
1822,790,180,1,0,risky first
1993,727,182.2,1,0,risky first
2047,898,179.3,1,0,risky first
1957,994,131.6,1,0,risky first
1966,1120,126.3,1,0,risky first
1921,1075,63.6,1,0,risky first
2032,955,163.5,1,0,risky first
2029,775,180,1,0,risky first
1849,733,184.8,1,0,risky first
1819,904,173.6,1,0,risky first
1819,1084,180,1,0,risky first
1819,1264,180,1,0,risky first
1909,1444,201.2,1,0,risky first
1939,1624,182.5,1,0,risky first
1939,1804,180,1,0,risky first
2080,1984,228.7,1,0,risky first
2119,1855,134.8,1,0,risky first
2056,1675,190.7,1,0,risky first
1957,1495,205.4,1,0,risky first
1828,1315,221.5,1,0,risky first
1828,1135,180,1,0,risky first
1828,955,180,1,0,risky first
1828,775,180,1,0,risky first
1996,721,176.5,1,0,risky first
2029,901,183,1,0,risky first
1918,1021,163.5,1,0,risky first
1930,1150,129.6,1,0,risky first
1939,973,177.2,1,0,risky first
2053,853,165.5,1,0,risky first
2140,865,87.8,1,0,risky first
2140,1045,180,1,0,risky first
2140,1225,180,1,0,risky first
2059,1405,197.4,1,0,risky first
1993,1585,191.7,1,0,risky first
1993,1765,180,1,0,risky first
2092,1927,189.9,1,0,risky first
2080,2032,105.7,1,0,risky first
2131,1852,187.1,1,0,risky first
2185,1672,187.9,1,0,risky first
2185,1492,180,1,0,risky first
2152,1312,183,1,0,risky first
2152,1132,180,1,0,risky first
2152,952,180,1,0,risky first
2113,772,184.2,1,0,risky first
2050,901,143.6,1,0,risky first
1951,994,135.8,1,0,risky first
1978,1129,137.7,1,0,risky first
1930,1057,86.5,1,0,risky first
2023,925,161.5,1,0,risky first
2077,772,162.2,1,0,risky first
2146,910,154.3,1,0,risky first
2146,1090,180,1,0,risky first
2146,1270,180,1,0,risky first
2071,1450,195,1,0,risky first
2041,1630,182.5,1,0,risky first
2059,1810,180.9,1,0,risky first
2059,1990,180,1,0,risky first
2230,1909,189.2,1,0,risky first
2410,1729,254.6,1,0,risky first
2590,1549,254.6,1,0,risky first
2770,1435,213.1,1,0,risky first
2947,1441,177.1,1,0,risky first
2770,1327,210.5,1,0,risky first
2590,1147,254.6,1,0,risky first
2410,1030,214.7,1,0,risky first
2230,952,196.2,1,0,risky first
2125,850,146.4,1,0,risky first
2056,886,77.8,1,0,risky first
1957,994,146.5,1,0,risky first
1984,1144,152.4,1,0,risky first
2068,1081,105,1,0,risky first
1966,1081,102,1,0,risky first
1903,1015,91.2,1,0,risky first
2020,901,163.4,1,0,risky first
2107,766,160.6,1,0,risky first
2173,916,163.9,1,0,risky first
2173,1096,180,1,0,risky first
2173,1276,180,1,0,risky first
2011,1456,242.2,1,0,risky first
2002,1636,180.2,1,0,risky first
2002,1816,180,1,0,risky first
2053,1996,187.1,1,0,risky first
2116,1900,114.8,1,0,risky first
2173,1720,188.8,1,0,risky first
2173,1540,180,1,0,risky first
2176,1825,180,2,1,risky first
2149,1645,182.0137357,2,1,risky first
2005,1465,230.5124725,2,1,risky first
2035,1285,182.4828759,2,1,risky first
1918,1123,199.8324298,2,1,risky first
1903,1012,112.0089282,2,1,risky first
1909,1012,6,2,1,risky first
1909,1012,0,2,1,risky first
1801,1030,109.4897255,2,1,risky first
1897,1132,140.0714104,2,1,risky first
2077,1132,180,2,1,risky first
2098,1309,178.2414093,2,1,risky first
2152,1489,187.9255172,2,1,risky first
2089,1669,190.7065809,2,1,risky first
2032,1849,188.8094277,2,1,risky first
1987,2029,185.5397532,2,1,risky first
2110,2134,161.7219837,2,1,risky first
2170,2311,186.8930175,2,1,risky first
2221,2329,54.08326913,2,1,risky first
2254,2329,33,2,1,risky first
2254,2329,0,2,1,risky first
2164,2329,90,2,1,risky first
2065,2182,177.2286659,2,1,risky first
